t,cmd_px,cmd_py,cmd_pz,cmd_qx,cmd_qy,cmd_qz,cmd_qw,cmd_jaw_sep,grip_px,grip_py,grip_pz,grip_qx,grip_qy,grip_qz,grip_qw,grip_jaw_sep,peg_px,peg_py,peg_pz,peg_qx,peg_qy,peg_qz,peg_qw,f_gripper_peg,f_peg_table,f_peg_cuboid,f_cuboid_table
38,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.01000013107121486,0.19999971904280892,0.19999971904280892,0.049999900191366686,2.7544862682661862e-06,-2.7544862682661613e-06,5.091296670302514e-22,0.9999999999924127,0.0,0.9810000000000278,0.0,9.80995010085293
39,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.085,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.029873449404330732,0.19999972244371492,0.19999972244371492,0.04999989423335304,2.7211441130474177e-06,-2.7211441130473893e-06,5.085900609274344e-22,0.9999999999925954,0.0,0.9809656818417991,0.0,9.809976116091532
40,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.085,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.05994929740212321,0.1999998096158628,0.1999998096158628,0.049999737345452606,1.8665168337061907e-06,-1.8665168337061597e-06,7.2512437720433985e-22,0.9999999999965161,0.0,0.980130638132367,0.0,9.809988568099676
41,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.085,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.058788364194619906,0.1999771759194533,0.20047157954045394,0.050134476614333054,-0.00168407564333037,0.00046512513609744423,-0.0005088146801139771,0.9999983443263576,4068.336433663214,807.7179298818968,0.0,9.809994528153888
42,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.085,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.05723104137180779,0.2000015894125028,0.20034490370254154,0.05025709847159173,-0.0018138889822123486,-0.00010406434812566377,-0.0014306733417227657,0.9999973260720055,1449.6659607817612,228.34914664917636,0.0,9.80999738090666
43,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.085,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.05637521759088537,0.20004466715312796,0.2004075096917445,0.05035406772381633,-0.0013306238114209755,-0.0008572057348772456,-0.0022904077794096804,0.9999961243278919,1349.3075995594909,193.74261310716292,0.0,9.809998746360204
44,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.085,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.05592351165707971,0.200030850028121,0.20025573937453256,0.050460845485008024,-0.0031436917589471093,-0.00040539184985813,-0.0013469860991673736,0.9999940692264238,1355.9765177763534,145.25544131375315,0.0,9.809999399945244
45,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.085,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.05578897340968304,0.19999678527914444,0.19933012999249,0.05070776899297794,-0.010309581847454499,0.00022835128273134686,-0.0005314844949125487,0.9999466875299172,1362.648302540649,79.52628252257318,0.0,9.809999712777843
46,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.085,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.05573625413536181,0.20000766066312847,0.1997458447425123,0.05071226448678034,-0.008521270646162241,-1.4060358062340964e-05,-0.0008282565498450951,0.9999633501983805,1350.815360325629,0.0,0.0,9.809999862513013
47,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.085,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.05575508903504256,0.2001684293221333,0.19920110831571408,0.05089558077980529,-0.011119568180137719,-0.0029080019659051635,-0.004346776059713134,0.9999244992827909,1388.9453358954363,2.8581397484323903,0.0,9.809999934199741
48,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.085,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.05569050775505545,0.20018394309097803,0.1996558064475034,0.05089659159955867,-0.009209658877652911,-0.003183110213904385,-0.00467731653297526,0.99994158464521,1366.9251375898186,0.0,0.0,9.809999968493313
49,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.085,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.05569824185851433,0.20019497847591153,0.199825488075253,0.05088698351473151,-0.008018653565559657,-0.0033965336819065,-0.00496869623480675,0.9999497371426572,1370.9046028377484,0.0,0.0,9.809999984921399
50,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.085,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.05569529571099786,0.20020434037524829,0.1999161368158708,0.050879785308443726,-0.007143274597718678,-0.0035845592765052893,-0.005234691577863899,0.9999543602419559,1372.4955397868862,0.0,0.0,9.809999992777792
51,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.085,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.055679007491887283,0.2002125385622996,0.19996865474527023,0.05087462388330581,-0.006482071982168979,-0.0037532810913847386,-0.005476803251449591,0.9999569491983202,1370.7352889845554,0.0,0.0,9.809999996546123
52,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.085,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.055649778256634856,0.20022108827700835,0.20000229067584235,0.05087165833293453,-0.0060075428864277795,-0.003930612821385143,-0.005731000524114928,0.9999578067820205,1364.2321203382003,0.0,0.0,9.809999998346074
53,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.085,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.055617109380806225,0.2002400727856679,0.2000408300392124,0.05087296417006475,-0.0054837699178711735,-0.004277432058809879,-0.006163271341218253,0.9999568220322539,1368.5960271651443,0.0,0.0,9.809999999210948
54,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.085,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.05557164623755287,0.20025307508964632,0.20008047209321875,0.050876450309406664,-0.005134324911801308,-0.004483835798812776,-0.0063711357538791015,0.9999564703293014,1369.5677035630465,0.0,0.0,9.809999999617954
55,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.085,0.19985734433045158,0.20021328206042396,0.18725129115852657,1.0,0.0,0.0,6.123233995736766e-17,0.05553381394023107,0.2002655563596937,0.2001134989620374,0.050877966537905,-0.0048123449006511575,-0.004681066425757988,-0.006568301564240445,0.9999558922113695,1367.967472831472,0.0,0.0,9.809999999822828
